sample_type,sample_subtype,classcode,genus,species,description_common_spp_name,max_total_length,notes,family
FISH,FISH,SCAR,Sebastes,carnatus,gopher rockfish,39,,SCORPAENIDAE
FISH,FISH,SCAR/SCAU,Sebastes,"carnatus, caurinus","Gopher, Copper Rockfish complex",15,Some rockfish recruits in 2011 were difficult to distinguish and were lumped,X
FISH,FISH,SCAU,Sebastes,caurinus,copper rockfish,58,,SCORPAENIDAE
FISH,FISH,SCHI,Sarda,chiliensis,eastern pacific bonito,102,,
FISH,FISH,SCHR,Sebastes,chrysomelas,black and yellow rockfish,39,,SCORPAENIDAE
FISH,FISH,SDAL,Sebastes,dalli,calico rockfish,25,,SCORPAENIDAE
FISH,FISH,SDIP,Sebastes,diploproa,spitnose rockfish,46,,SCORPAENIDAE
FISH,FISH,SEBSPP,,,"Rockfish, unidentified sp.",104,,SCORPAENIDAE
FISH,FISH,SEBSPP,,,"Rockfish, unidentified sp.",104,,SCORPAENIDAE
FISH,FISH,SEBSPP,,,"Rockfish, unidentified sp.",104,,SCORPAENIDAE
FISH,FISH,SENT,Sebastes,entomelas,widow rockfish,60,,SCORPAENIDAE
FISH,FISH,SGIG,Stereolepis,gigas,giant sea bass,250,,SERRANIDAE
FISH,FISH,SGUT,Scorpaena,guttata,"california scorpionfish, sculpin",43,,SCORPAENIDAE
FISH,FISH,SHOP,Sebastes,hopkinsi,squarespot rockfish,29,,SCORPAENIDAE
FISH,FISH,SJAP,Scomber,japonicus,"pacific mackerel, greenback mackerel",64,,SCOMBRIDAE
FISH,FISH,SLAL,Seriola,lalandi,yellowtail,250,,
FISH,FISH,SLAL,Seriola,lalandi,yellowtail,250,,
FISH,FISH,SLUC,Synodus,lucioceps,California lizardfish,64,,SYNODONTIDAE
FISH,FISH,SMAR,Scorpaenichthys,marmoratus,cabezon,99,,COTTIDAE
FISH,FISH,SMEL,Sebastes,melanops,black rockfish,63,juveniles very similar to OYT,SCORPAENIDAE
FISH,FISH,SMIN,Sebastes,miniatus,vermilion rockfish,91,,SCORPAENIDAE
FISH,FISH,SMYS,Sebastes,mystinus,blue rockfish,61,,SCORPAENIDAE
FISH,FISH,SNEB,Sebastes,nebulosus,china rockfish,45,,SCORPAENIDAE
FISH,FISH,SPAU,Sebastes,paucispinis,bocaccio,91,,SCORPAENIDAE
FISH,FISH,SPIN,Sebastes,pinniger,canary rockfish,76,,SCORPAENIDAE
FISH,FISH,SPUL,Semicossyphus,pulcher,california sheephead,91,,LABRIDAE
FISH,FISH,SRAS,Sebastes,rastrelliger,grass rockfish,56,,SCORPAENIDAE
FISH,FISH,SROS,Sebastes,rosaceus,rosy rockfish,36,,SCORPAENIDAE
FISH,FISH,SRUB,Sebastes,rubrivinctus,flag rockfish,51,,SCORPAENIDAE
FISH,FISH,SSAG,Sardinops,sagax,pacific sardine,39.5,,CLUPEIDAE
FISH,FISH,SSAX,Sebastes,saxicola,stripetail rockfish,38,,SCORPAENIDAE
FISH,FISH,SSEM,Sebastes,semicinctus,halfbanded rockfish,25,,SCORPAENIDAE
FISH,FISH,STICH,Stichaeidae,spp.,Pricklebacks,76,unidentified sp.,STICHAEIDAE
FISH,FISH,STRE,Sebastes,serriceps,treefish,41,,SCORPAENIDAE
FISH,FISH,STRE,Sebastes,serriceps,treefish,41,,SCORPAENIDAE
FISH,FISH,SUMB,Sebastes,umbrosus,Honeycomb Rockfish,30,"Added in 2012, counted by Vantuna Research Group as part of 2011 Baseline",
FISH,FISH,SYNG,Syngnathus,spp.,pipefish,50,unidentified sp.,SYNGNATHIDAE
FISH,FISH,SYRI,Synchirus / Rimicola,spp.,Manacled sculpin/Kelp clingfish,7,Combined species group of Synchirus gilli and Rimicola muscarum,
FISH,FISH,SYRI,Synchirus / Rimicola,spp.,Manacled sculpin/Kelp clingfish,7,Combined species group of Synchirus gilli and Rimicola muscarum,
FISH,FISH,SYRI,Synchirus / Rimicola,spp.,Manacled sculpin/Kelp clingfish,7,Combined species group of Synchirus gilli and Rimicola muscarum,
FISH,FISH,TCAL,Torpedo,californica,pacific electric ray,140,,
FISH,FISH,TSEM,Triakis,semifasciata,leopard shark,198,,TRIAKIDIDAE
FISH,FISH,TSEM,Triakis,semifasciata,leopard shark,198,,TRIAKIDIDAE
FISH,FISH,TSYM,Trachurus,symmetricus,jack mackerel,81,,CARANGIDAE
FISH,FISH,UHAL,Urobatis,halleri,Haller's round ray,58,,UROTRYDONIDAE
FISH,FISH,UNID,,,Unidentified Fish,1000,,
FISH,FISH,UNID,,,Unidentified Fish,1000,,
FISH,FISH,XCAL,Xenistius,californiensis,Californian Salema,30,,HAEMULIDAE
FISH,FISH,ZEXA,Zapteryx,exasperata,Banded Guitarfish,97,"Added in 2012, counted by Vantuna Research Group as part of 2011 Baseline",
FISH,FISH,ZROS,Zalembius,rosaceus,pink surfperch,20,,EMBIOTOCIDAE
