year,bimonth,enso
1990,augsep,0.378
1991,augsep,0.76
1992,augsep,0.497
1993,augsep,0.992
1994,augsep,0.908
1995,augsep,-0.426
1996,augsep,-0.437
1997,augsep,3.044
1998,augsep,-0.6
1999,augsep,-0.953
2000,augsep,-0.227
2001,augsep,-0.165
2002,augsep,0.908
2003,augsep,0.477
2004,augsep,0.572
2005,augsep,0.315
2006,augsep,0.823
2007,augsep,-1.181
2008,augsep,-0.551
2009,augsep,0.735
2010,augsep,-1.868
2011,augsep,-0.769
2012,augsep,0.339
2013,augsep,-0.133
2014,augsep,0.585
2015,augsep,2.53
2016,augsep,-0.101
1950,sepoct,-0.433
1951,sepoct,0.736
1952,sepoct,0.275
1953,sepoct,0.093
1954,sepoct,-1.348
1955,sepoct,-1.753
1956,sepoct,-1.486
1957,sepoct,1.083
1958,sepoct,0.213
1959,sepoct,-0.06
1960,sepoct,-0.355
1961,sepoct,-0.539
1962,sepoct,-0.67
1963,sepoct,0.814
1964,sepoct,-1.225
1965,sepoct,1.219
1966,sepoct,-0.044
1967,sepoct,-0.683
1968,sepoct,0.435
1969,sepoct,0.511
1970,sepoct,-1.088
1971,sepoct,-1.421
1972,sepoct,1.643
1973,sepoct,-1.667
1974,sepoct,-1.052
1975,sepoct,-1.987
1976,sepoct,0.946
1977,sepoct,0.986
1978,sepoct,-0.02
1979,sepoct,0.678
1980,sepoct,0.201
1981,sepoct,0.112
1982,sepoct,2.024
1983,sepoct,0.038
1984,sepoct,0.001
1985,sepoct,-0.139
1986,sepoct,0.979
1987,sepoct,1.647
1988,sepoct,-1.326
1989,sepoct,-0.341
1990,sepoct,0.285
1991,sepoct,1.009
1992,sepoct,0.641
1993,sepoct,1.069
1994,sepoct,1.407
1995,sepoct,-0.477
1996,sepoct,-0.349
1997,sepoct,2.401
1998,sepoct,-0.798
1999,sepoct,-0.973
2000,sepoct,-0.387
2001,sepoct,-0.275
2002,sepoct,1.0
2003,sepoct,0.516
2004,sepoct,0.508
2005,sepoct,-0.167
2006,sepoct,0.955
2007,sepoct,-1.217
2008,sepoct,-0.692
2009,sepoct,0.909
2010,sepoct,-1.899
2011,sepoct,-0.933
2012,sepoct,0.081
2013,sepoct,0.13
2014,sepoct,0.438
2015,sepoct,2.241
2016,sepoct,-0.379
1950,octnov,-1.165
1951,octnov,0.703
1952,octnov,-0.349
1953,octnov,0.075
1954,octnov,-1.14
1955,octnov,-1.841
1956,octnov,-1.038
1957,octnov,1.148
1958,octnov,0.486
1959,octnov,-0.17
1960,octnov,-0.331
1961,octnov,-0.436
1962,octnov,-0.623
1963,octnov,0.844
1964,octnov,-1.239
1965,octnov,1.362
1966,octnov,0.004
1967,octnov,-0.426
1968,octnov,0.586
1969,octnov,0.666
1970,octnov,-1.084
1971,octnov,-1.329
1972,octnov,1.726
1973,octnov,-1.503
1974,octnov,-1.251
1975,octnov,-1.773
1976,octnov,0.493
1977,octnov,0.975
1978,octnov,0.186
1979,octnov,0.746
1980,octnov,0.251
1981,octnov,-0.038
1982,octnov,2.428
1983,octnov,-0.132
1984,octnov,-0.352
1985,octnov,-0.059
1986,octnov,0.873
1987,octnov,1.271
1988,octnov,-1.468
1989,octnov,-0.073
1990,octnov,0.389
1991,octnov,1.189
1992,octnov,0.582
1993,octnov,0.834
1994,octnov,1.299
1995,octnov,-0.478
1996,octnov,-0.146
1997,octnov,2.542
1998,octnov,-1.086
1999,octnov,-1.05
2000,octnov,-0.714
2001,octnov,-0.153
2002,octnov,1.09
2003,octnov,0.57
2004,octnov,0.805
2005,octnov,-0.392
2006,octnov,1.286
2007,octnov,-1.165
2008,octnov,-0.597
2009,octnov,1.121
2010,octnov,-1.49
2011,octnov,-0.949
2012,octnov,0.125
2013,octnov,-0.053
2014,octnov,0.763
2015,octnov,2.297
2016,octnov,-0.212
1950,novdec,-1.261
1951,novdec,0.478
1952,novdec,-0.124
1953,novdec,0.324
1954,novdec,-1.113
1955,novdec,-1.877
1956,novdec,-1.022
1957,novdec,1.248
1958,novdec,0.671
1959,novdec,-0.261
1960,novdec,-0.417
1961,novdec,-0.634
1962,novdec,-0.505
1963,novdec,0.744
1964,novdec,-0.936
1965,novdec,1.252
1966,novdec,-0.199
1967,novdec,-0.378
1968,novdec,0.347
1969,novdec,0.398
1970,novdec,-1.223
1971,novdec,-0.993
1972,novdec,1.766
1973,novdec,-1.848
1974,novdec,-0.905
1975,novdec,-1.757
1976,novdec,0.55
1977,novdec,0.86
1978,novdec,0.388
1979,novdec,0.989
1980,novdec,0.089
1981,novdec,-0.141
1982,novdec,2.411
1983,novdec,-0.188
1984,novdec,-0.603
1985,novdec,-0.293
1986,novdec,1.19
1987,novdec,1.282
1988,novdec,-1.328
1989,novdec,0.115
1990,novdec,0.348
1991,novdec,1.32
1992,novdec,0.648
1993,novdec,0.589
1994,novdec,1.237
1995,novdec,-0.554
1996,novdec,-0.336
1997,novdec,2.335
